Date,IB_USD_TND,IB_EUR_TND,IB_GBP_TND,IB_JPY_TND,FIX_USD_Bid,FIX_USD_Ask,FIX_USD_Mid,FIX_EUR_Bid,FIX_EUR_Ask,FIX_EUR_Mid,EUR_USD,GBP_USD,USD_JPY,SPREAD_USD,SPREAD_EUR,ret_EUR_USD,ret_GBP_USD,ret_USD_JPY,ret_FIX_USD
2020-04-10,2.9107,3.1651,3.587,26.6795,2.9049,2.9079,2.9064,3.1586,3.1617,3.16015,1.0935,1.2452,108.46,0.0042999999999997485,0.00495000000000001,0.0007318635401227652,-0.00024089613478198157,0.0,
2020-04-13,2.8924,3.1621,3.6134,26.7993,2.8954,2.8982,2.8968,3.1594,3.1626,3.161,1.0913,1.2507,107.76,-0.0043999999999999595,0.001100000000000101,-0.0020139149977783655,0.0044072349874076655,-0.006474909310805188,-0.0033085224555609027
2020-04-14,2.8894,3.1625,3.62,26.8886,2.8877,2.8905,2.8891,3.1616,3.1647,3.16315,1.0979,1.2623,107.2,0.000300000000000189,-0.0006499999999998174,0.006029618121642724,0.009232059203955117,-0.005210283465407528,-0.002661644530942864
2020-04-15,2.8874,3.1618,3.6187,26.9416,2.8938,2.8966,2.8952,3.158,3.1611,3.15955,1.0907,1.2514,107.47,-0.007800000000000029,0.0022500000000000853,-0.006579572305989587,-0.008672529194552775,0.0025154902163606607,0.002109158329044236
2020-04-16,2.9006,3.1558,3.6202,26.9429,2.8999,2.9028,2.90135,3.1546,3.1578,3.1562,1.0835,1.2455,107.94,-0.0007500000000000284,-0.00039999999999995595,-0.006623149958283572,-0.0047258688620280265,0.004363778337435065,0.0021219526468760908
2020-04-17,2.9114,3.1476,3.6192,26.9631,2.9072,2.9102,2.9087,3.1507,3.1539,3.1523,1.0876,1.2499,107.51,0.0026999999999999247,-0.004699999999999704,0.0037768917819019088,0.003526492393940983,-0.003991650693360604,0.002530100057955176
2020-04-20,2.8993,3.1473,3.6142,26.9347,2.9036,2.9066,2.9051,3.1512,3.1543,3.15275,1.0862,1.2435,107.61,-0.005799999999999805,-0.005450000000000177,-0.0012880671575706132,-0.005133563852716738,0.0009297137151644819,-0.0012384328529069233
2020-04-21,2.9052,3.1468,3.5856,27.0552,2.9055,2.9085,2.907,3.1477,3.1509,3.1493,1.0856,1.2293,107.76,-0.0018000000000002458,-0.002500000000000391,-0.0005525370800856522,-0.011485082570164007,0.0013929518898079252,0.000653808457419025
2020-04-22,2.8992,3.1458,3.5869,26.9276,2.8989,2.9017,2.9003,3.1525,3.1557,3.1541,1.0822,1.2332,107.72,-0.001100000000000101,-0.008300000000000196,-0.0031368233120243616,0.0031675153386999666,-0.00037126415871036045,-0.0023074416588524382
2020-04-23,2.9068,3.1407,3.6037,27.1146,2.9165,2.9195,2.918,3.1418,3.145,3.1434,1.0776,1.2342,107.58,-0.011200000000000099,-0.0027000000000003688,-0.004259660112480801,0.0008105698749711066,-0.0013005110983019819,0.0060842701827075185
2020-04-24,2.9215,3.1377,3.6039,27.1073,2.9168,2.9198,2.9183,3.1444,3.1475,3.14595,1.082,1.2367,107.5,0.0032000000000000917,-0.008249999999999869,0.004074834310272765,0.0020235548610448573,-0.0007439092773795508,0.00010280485933344963
2020-04-27,2.9038,3.1444,3.6086,27.1083,2.9047,2.9077,2.9062,3.1478,3.1509,3.14935,1.0828,1.2428,107.22,-0.0024000000000001798,-0.00495000000000001,0.0007390983337191986,0.004920356770880929,-0.002608049168325799,-0.004154869055468913
2020-04-28,2.9013,3.1537,3.6204,27.1542,2.8945,2.8973,2.8959,3.1512,3.1543,3.15275,1.0818,1.2421,106.86,0.005399999999999849,0.0009500000000000064,-0.0009239583028194248,-0.0005634029687442144,-0.003363231869766281,-0.0035504423639165505
2020-04-29,2.8982,3.1485,3.5969,27.2523,2.9016,2.9046,2.9031,3.1472,3.1504,3.1488,1.0873,1.2464,106.7,-0.004899999999999682,-0.000300000000000189,0.005071238566377048,0.00345590056633574,-0.00149840822191738,0.002483188032327277
